Year,No of Acts,URL,,MP,,,
2012,3682,http://www.legislation.gov.uk/2012,2012,David Cameron,Conservative/ Liberal coalition,,
2011,4116,http://www.legislation.gov.uk/2011,2011,David Cameron,Conservative/ Liberal coalition,,
2010,3969,http://www.legislation.gov.uk/2010,2010,David Cameron,Conservative/ Liberal coalition,,
2009,2861,http://www.legislation.gov.uk/2009,2009,Gordon Brown,Labour,,
2008,2528,http://www.legislation.gov.uk/2008,2008,Gordon Brown,Labour,,
2007,2906,http://www.legislation.gov.uk/2007,2007,Gordon Brown,Labour,,
2006,2719,http://www.legislation.gov.uk/2006,2006,Tony Blair,Labour,,
2005,2864,http://www.legislation.gov.uk/2005,2005,Tony Blair,Labour,,
2004,2662,http://www.legislation.gov.uk/2004,2004,Tony Blair,Labour,,
2003,2783,http://www.legislation.gov.uk/2003,2003,Tony Blair,Labour,,
2002,2749,http://www.legislation.gov.uk/2002,2002,Tony Blair,Labour,,
2001,3075,http://www.legislation.gov.uk/2001,2001,Tony Blair,Labour,,
2000,2503,http://www.legislation.gov.uk/2000,2000,Tony Blair,Labour,,
1999,2514,http://www.legislation.gov.uk/1999,1999,Tony Blair,Labour,,
1998,2203,http://www.legislation.gov.uk/1998,1998,Tony Blair,Labour,,
1997,2342,http://www.legislation.gov.uk/1997,1997,Tony Blair,Labour,,
1996,2682,http://www.legislation.gov.uk/1996,1996,John Major,Conservative,,
1995,1980,http://www.legislation.gov.uk/1995,1995,John Major,Conservative,,
1994,1953,http://www.legislation.gov.uk/1994,1994,John Major,Conservative,,
1993,1995,http://www.legislation.gov.uk/1993,1993,John Major,Conservative,,
1992,2054,http://www.legislation.gov.uk/1992,1992,John Major,Conservative,,
1991,1904,http://www.legislation.gov.uk/1991,1991,John Major,Conservative,,
1990,1704,http://www.legislation.gov.uk/1990,1990,John Major,Conservative,,
1989,1587,http://www.legislation.gov.uk/1989,1989,Margaret Thatcher,Conservative,,
1988,1621,http://www.legislation.gov.uk/1988,1988,Margaret Thatcher,Conservative,,
1987,1522,http://www.legislation.gov.uk/1987,1987,Margaret Thatcher,Conservative,,
1986,362,http://www.legislation.gov.uk/1986,1986,Margaret Thatcher,Conservative,,
1985,299,http://www.legislation.gov.uk/1985,1985,Margaret Thatcher,Conservative,,
1984,264,http://www.legislation.gov.uk/1984,1984,Margaret Thatcher,Conservative,,
1983,291,http://www.legislation.gov.uk/1983,1983,Margaret Thatcher,Conservative,,
1982,261,http://www.legislation.gov.uk/1982,1982,Margaret Thatcher,Conservative,,
1981,262,http://www.legislation.gov.uk/1981,1981,Margaret Thatcher,Conservative,,
1980,233,http://www.legislation.gov.uk/1980,1980,Margaret Thatcher,Conservative,,
1979,190,http://www.legislation.gov.uk/1979,1979,Margaret Thatcher,Conservative,,
1978,207,http://www.legislation.gov.uk/1978,1978,James Callaghan,Labour,,
1977,240,http://www.legislation.gov.uk/1977,1977,James Callaghan,Labour,,
1976,198,http://www.legislation.gov.uk/1976,1976,James Callaghan,Labour,,
1975,217,http://www.legislation.gov.uk/1975,1975,Harold Wilson,Labour,,
1974,221,http://www.legislation.gov.uk/1974,1974,Harold Wilson,Labour,,
1973,209,http://www.legislation.gov.uk/1973,1973,Edward Heath,Conservative,,
1972,209,http://www.legislation.gov.uk/1972,1972,Edward Heath,Conservative,,
1971,168,http://www.legislation.gov.uk/1971,1971,Edward Heath,Conservative,,
1970,176,http://www.legislation.gov.uk/1970,1970,Edward Heath,Conservative,,
1969,136,http://www.legislation.gov.uk/1969,1969,Harold Wilson,Labour,,
1968,142,http://www.legislation.gov.uk/1968,1968,Harold Wilson,Labour,,
1967,128,http://www.legislation.gov.uk/1967,1967,Harold Wilson,Labour,,
1966,100,http://www.legislation.gov.uk/1966,1966,Harold Wilson,Labour,,
1965,147,http://www.legislation.gov.uk/1965,1965,Harold Wilson,Labour,,
1964,127,http://www.legislation.gov.uk/1964,1964,Harold Wilson,Labour,,
1963,99,http://www.legislation.gov.uk/1963,1963,Sir Alec Douglas-Home,Conservative,,
1962,102,http://www.legislation.gov.uk/1962,1962,Harold Macmillan,Conservative,,
1961,90,http://www.legislation.gov.uk/1961,1961,Harold Macmillan,Conservative,,
1960,71,http://www.legislation.gov.uk/1960,1960,Harold Macmillan,Conservative,,
1959,73,http://www.legislation.gov.uk/1959,1959,Harold Macmillan,Conservative,,
1958,78,http://www.legislation.gov.uk/1958,1958,Harold Macmillan,Conservative,,
1957,54,http://www.legislation.gov.uk/1957,1957,Harold Macmillan,Conservative,,
1956,56,http://www.legislation.gov.uk/1956,1956,Sir Anthony Eden,Conservative,,
1955,48,http://www.legislation.gov.uk/1955,1955,Sir Anthony Eden,Conservative,,
1954,68,http://www.legislation.gov.uk/1954,1954,Winston Churchill,Conservative,,
1953,44,http://www.legislation.gov.uk/1953,1953,Winston Churchill,Conservative,,
1952,57,http://www.legislation.gov.uk/1952,1952,Winston Churchill,Conservative,,
1951,55,http://www.legislation.gov.uk/1951,1951,Winston Churchill,Conservative,,
1950,44,http://www.legislation.gov.uk/1950,1950,Clement Attlee,Labour,,
1949,79,http://www.legislation.gov.uk/1949,1949,Clement Attlee,Labour,,
1948,74,http://www.legislation.gov.uk/1948,1948,Clement Attlee,Labour,,
